Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,49000,4,1600.0,1,0,0,1,0,0,0
45,34000,3,1500.0,1,0,0,1,0,0,0
39,11000,1,1000.0,1,0,0,0,0,0,0
35,100000,1,2700.0,2,0,0,0,0,0,0
35,45000,4,1000.0,2,0,0,0,0,0,1
37,29000,4,400.0,2,155000,0,0,0,1,0
53,72000,2,1500.0,2,0,0,0,0,1,0
50,22000,1,300.0,3,0,0,0,0,0,1
35,81000,3,600.0,2,104000,0,0,0,1,0
34,180000,1,8900.0,3,0,1,0,0,0,0
65,105000,4,2400.0,3,0,0,0,0,0,0
29,45000,3,100.0,2,0,0,0,0,1,0
48,114000,2,3800.0,3,0,0,1,0,0,0
59,40000,4,2500.0,2,0,0,0,0,1,0
67,112000,1,2000.0,1,0,0,1,0,0,0
60,22000,1,1500.0,3,0,0,0,0,1,1
38,130000,4,4700.0,3,134000,1,0,0,0,0
42,81000,4,2400.0,1,0,0,0,0,0,0
46,193000,2,8100.0,3,0,1,0,0,0,0
55,21000,1,500.0,2,0,0,1,0,0,1
56,25000,4,900.0,2,111000,0,0,0,1,0
57,63000,3,2000.0,3,0,0,0,0,1,0
29,62000,1,1200.0,1,260000,0,0,0,1,0
44,43000,2,700.0,1,163000,0,1,0,0,0
36,152000,2,3900.0,1,159000,0,0,0,0,1
43,29000,3,500.0,1,97000,0,0,0,1,0
40,83000,4,200.0,3,0,0,0,0,0,0
46,158000,1,2400.0,1,0,0,0,0,1,1
56,48000,1,2200.0,3,0,0,0,0,1,1
38,119000,1,3300.0,2,0,1,0,1,1,1
59,35000,1,1200.0,3,122000,0,0,0,1,0
40,29000,1,2000.0,2,0,0,0,0,1,0
53,41000,2,600.0,3,193000,0,0,0,0,0
30,18000,3,900.0,3,0,0,0,0,0,0
31,50000,4,1800.0,3,0,0,0,0,1,0
48,81000,3,700.0,1,0,0,0,0,0,0
59,121000,1,2900.0,1,0,0,0,0,0,1
51,71000,1,1400.0,3,198000,0,0,0,0,0
42,141000,3,5000.0,3,0,1,1,1,1,0
38,80000,4,700.0,3,285000,0,0,0,1,0
57,84000,3,1600.0,3,0,0,1,0,0,0
34,60000,3,2300.0,1,0,0,0,0,0,0
32,132000,4,1100.0,2,412000,1,0,0,1,0
39,45000,1,700.0,1,0,0,0,0,1,0
46,104000,1,5700.0,1,0,0,0,0,1,1
57,52000,4,2500.0,1,0,0,0,0,0,1
39,43000,3,700.0,2,153000,0,0,0,1,0
37,194000,4,200.0,3,211000,1,1,1,1,1
56,81000,2,4500.0,3,0,0,0,0,0,1
40,49000,1,1800.0,1,0,0,0,0,0,1
32,8000,4,700.0,2,0,0,1,0,1,0
61,131000,1,2900.0,1,0,0,0,0,1,0
30,72000,1,100.0,1,207000,0,0,0,0,0
50,190000,3,2100.0,3,240000,1,0,0,1,0
29,44000,1,200.0,3,0,0,0,0,1,0
41,139000,2,8000.0,1,0,0,0,0,1,0
55,29000,3,100.0,2,0,0,1,1,1,0
56,131000,2,1200.0,3,0,1,0,0,0,0
28,93000,2,200.0,1,0,0,0,0,0,0
31,188000,2,4500.0,1,455000,0,0,0,0,0
49,39000,3,1700.0,2,0,0,1,0,1,0
47,125000,1,5700.0,1,112000,0,1,0,0,0
42,22000,1,1000.0,1,0,0,0,0,0,0
42,32000,4,0.0,2,0,0,0,0,1,0
47,105000,2,3300.0,1,0,0,0,0,0,0
59,131000,1,3800.0,1,0,0,0,0,1,1
62,105000,2,2800.0,1,336000,0,0,0,0,0
53,45000,4,2000.0,3,132000,0,1,0,0,0
47,60000,3,2100.0,1,0,0,0,0,1,1
53,20000,4,200.0,1,0,0,0,0,1,0
